IncDay	Incubation	Type	Habitat	Group	SampleDay	Prod12CO2.ug.day	Prod13CO2.ug.day	TotalCO2.ug.day	Prod12CH4.ug.day	Prod13CH4.ug.day	TotalCH4.ug.day	gCLit	gCPeat
II_Fen_N1_d5	II_Fen_N1	Natural	Fen	Two	5	4903.51153318892	61.7573639632824	4965.2688971522	66.1942360789286	0.720356963716584	66.9145930426452	0.246848	2.92
II_Fen_N2_d1	II_Fen_N2	Natural	Fen	Two	1	2637.83263701315	22.0098290839586	2659.84246609711	0	0	0	0.246848	2.92
II_Fen_N2_d10	II_Fen_N2	Natural	Fen	Two	10	3598.14146457983	45.6264888869483	3643.76795346678	24.7368429931972	0.265737316907117	25.0025803101043	0.246848	2.92
II_Fen_N2_d15	II_Fen_N2	Natural	Fen	Two	15	3092.6475223041	39.167556128755	3131.81507843286	31.8207456754263	0.342387308879454	32.1631329843057	0.246848	2.92
II_Fen_N2_d5	II_Fen_N2	Natural	Fen	Two	5	4868.96039985581	61.2412839434778	4930.20168379929	41.4769178405919	0.447241989532175	41.9241598301241	0.246848	2.92
II_Fen_N3_d1	II_Fen_N3	Natural	Fen	Two	1	2534.25229867921	22.4864168523098	2556.73871553152	0	0	0	0.246848	2.92
II_Fen_N3_d10	II_Fen_N3	Natural	Fen	Two	10	3709.0786509652	47.1121267143816	3756.19077767958	28.112917192873	0.302333578118993	28.415250770992	0.246848	2.92
II_Fen_N3_d15	II_Fen_N3	Natural	Fen	Two	15	2977.48504632445	37.7529778146492	3015.2380241391	30.5274906651883	0.328739613247357	30.8562302784357	0.246848	2.92
II_Fen_N3_d5	II_Fen_N3	Natural	Fen	Two	5	5022.58839828961	63.552446026683	5086.1408443163	47.1471465660855	0.50828820895786	47.6554347750433	0.246848	2.92
II_Palsa_C1_d1	II_Palsa_C1	Control	Palsa	Two	1	2536.41818726679	22.4536718550184	2558.87185912181	0	0	0	0	2.88
II_Palsa_C1_d10	II_Palsa_C1	Control	Palsa	Two	10	408.783946498707	4.74225838750393	413.526204886211	0	0	0	0	2.88
II_Palsa_C1_d15	II_Palsa_C1	Control	Palsa	Two	15	410.545246854038	4.75388519708134	415.299132051119	0	0	0	0	2.88
