Weight,PNC,PNE,I_Palsa_E2,III_Palsa_N1,I_Palsa_C1,I_Palsa_C2,I_Palsa_E1,I_Palsa_N1,I_Palsa_N2,II_Palsa_C1,II_Palsa_C2,II_Palsa_E1,II_Palsa_E2,II_Palsa_N1,II_Palsa_N2,III_Palsa_C1,III_Palsa_C2,III_Palsa_E1,III_Palsa_E2,III_Palsa_N2,all
578.14288,141013221.915867,106457351.306764,5863306.5266078,65260164.9102853,13370146.0036475,54671255.8923082,1233400.10490789,8501449.6995163,4085014.60061451,32905266.7042471,4206934.61450408,7808456.80932926,13622607.9215423,15677282.5508303,46744771.6350699,5434671.68698668,32782906.2421085,33319044.7079033,34020946.5895968,137233343.055997,1
578.14287,299215788.232957,242676553.864094,10115089.5595419,140692275.108464,NA,16743494.8418115,2029054.29811643,3463637.82477495,2651064.29057945,10652154.8004308,1933399.26284519,1067185.90955142,6052914.12109059,6125554.10394629,71224845.3054658,2711253.55931238,2393775.20376044,19672201.7779782,3213815.02051712,1151734.20358338,1
576.12743,6239411.77024326,14399.0602546179,NA,25021009.7700268,6681503.28611987,45826656.421102,NA,NA,NA,306228.137746724,NA,NA,572986.294213517,202569.822508982,14261997.3184871,221318.531628379,3855771.99692733,2339624.13244153,462159.019304685,5693463.69848408,1
576.12739,2733060.94180756,373619.537577265,8520546.47765942,115157467.602706,230564607.486847,27556315.3801176,11650529.6362115,113551022.727597,38018186.3399032,50704680.0413921,92887802.9401996,70626270.0940397,165520961.23253,83862064.3591232,83112327.3938958,59420375.0105245,265936676.783594,50497793.0968221,225860974.293098,178954974.446539,1
568.21633,3205603.31184343,NA,1694929.67282935,64275730.5523567,10290780.0729924,4979023.99189909,2154713.06562018,11171541.8785182,2698828.39719165,41726967.8794393,11716632.1307391,12709871.8678135,19618125.7901198,29000857.3389203,39319100.112405,16609050.3044551,13787578.0848167,28400075.8214263,25600783.2557835,108223231.57896,1
568.21614,674312.59640442,NA,674066.825471266,37411860.2901964,54570030.6371406,3962961.49864665,392441.642961605,28756702.3975965,5772578.85371147,2700264.95703774,1030527.26303919,1382900.49090203,36268036.5680088,1348528.33694103,14154245.7407278,3180370.21997532,26816466.7767989,3993785.72176691,22136746.3678151,19113694.9782659,1
566.23682,1481977.91222499,15356508.8770786,5542449.26683062,114890762.117799,10546091.9682676,8082736.77057485,4282316.90663341,7015252.14191737,5055785.78419455,468096681.185078,9771746.22054414,23540139.480255,15088319.6937616,53644050.6299242,36783159.464575,19763384.0499512,12458532.7734441,32799464.0307814,326361995.269987,305401512.773792,1
564.14861,315276827.631947,406968700.787908,43839112.4235106,5974002.35785358,342285.822981002,335919.812637473,34699444.6757682,25920622.7747958,20770897.7329076,3663413.70321358,NA,7120694.99408494,10730448.8958753,5247874.44207344,4905569.47736201,273071.376548159,251927.521477334,754187.134775058,1791653.10978949,5842478.31055697,1
562.24204,18531560.3077654,26600241.274511,142521.617284221,27706455.2909184,1425392.71109485,7215137.69773385,156906.140711507,1509707.41883581,1581958.00528533,27379535.6810134,904726.307815435,1729043.9021771,2424537.56615062,2774497.94421483,5394090.08551828,3306703.81972042,1196744.93034859,4224278.56154193,8123239.24398179,28895052.9824849,1
556.29225,372303170.797253,211171402.228251,4917537.84938159,1102743.8471277,617777.235103603,733656.720262761,2105994.2858485,3517901.19626954,1208560.07768007,1069398.81341292,613750.59293293,1159457.80886815,1301438.04913025,859617.940924697,1151768.05630795,472172.690197354,331452.292881635,322113.477343638,321220.837368152,994958.878548744,1
552.27876,64321558.3384227,38544801.3619782,NA,230071.820741802,NA,NA,NA,144025.458645179,68445.4525014836,80651.8033442061,NA,NA,NA,NA,184478.176649865,39597.1563134099,NA,NA,131732.992713992,389278.904204461,1
552.22135,15290560.1373413,4012370.18772895,3304566.81598431,288666190.354766,14627155.7512102,178803151.172531,3522016.31588678,12598706.5776807,2940759.04041841,201905100.261356,6137968.49775288,35433986.4870129,26534623.1041488,20208199.9781193,119696840.960837,20569450.6908507,13956527.4882242,60318877.5620143,26925803.7394902,431734106.978807,1
